Carrier,Specialty,County,nproviders
Anthem BCBS,000 OTHER,EL PASO,766
Anthem BCBS,000 OTHER,ARAPAHOE,757
Anthem BCBS,000 OTHER,DENVER,629
Anthem BCBS,000 OTHER,JEFFERSON,535
Anthem BCBS,000 OTHER,LARIMER,447
Anthem BCBS,000 OTHER,BOULDER,419
Anthem BCBS,003 Internal Medicine,DENVER,396
Anthem BCBS,000 OTHER,ADAMS,322
Anthem BCBS,003 Internal Medicine,ARAPAHOE,291
Anthem BCBS,002 Family Medicine,DENVER,263
Anthem BCBS,002 Family Medicine,EL PASO,248
Anthem BCBS,000 OTHER,DOUGLAS,247
Anthem BCBS,002 Family Medicine,LARIMER,234
Anthem BCBS,000 OTHER,WELD,196
Anthem BCBS,002 Family Medicine,ADAMS,196
Anthem BCBS,000 OTHER,PUEBLO,190
Anthem BCBS,002 Family Medicine,ARAPAHOE,189
Anthem BCBS,002 Family Medicine,JEFFERSON,185
Anthem BCBS,003 Internal Medicine,JEFFERSON,185
Anthem BCBS,016 Gynecology (OB/GYN),DENVER,156
Anthem BCBS,002 Family Medicine,BOULDER,155
Anthem BCBS,003 Internal Medicine,EL PASO,153
Anthem BCBS,101 Pediatrics - Routine/Primary Care,DENVER,153
Anthem BCBS,002 Family Medicine,WELD,150
Anthem BCBS,016 Gynecology (OB/GYN),ARAPAHOE,141
Anthem BCBS,000 OTHER,MESA,140
Anthem BCBS,000 OTHER,LA PLATA,139
Anthem BCBS,025 Orthopedic Surgery,EL PASO,138
Anthem BCBS,023 Ophthalmology,DENVER,130
Anthem BCBS,002 Family Medicine,MESA,124
Anthem BCBS,002 Family Medicine,PUEBLO,120
Anthem BCBS,025 Orthopedic Surgery,DENVER,117
Anthem BCBS,101 Pediatrics - Routine/Primary Care,EL PASO,116
Anthem BCBS,003 Internal Medicine,LARIMER,111
Anthem BCBS,101 Pediatrics - Routine/Primary Care,ARAPAHOE,111
Anthem BCBS,103 Psychology,DENVER,111
Anthem BCBS,015 General Surgery,DENVER,110
Anthem BCBS,016 Gynecology (OB/GYN),EL PASO,102
Anthem BCBS,008 Cardiovascular Disease,ARAPAHOE,101
Anthem BCBS,102 Licensed Clinical Social Workers,DENVER,98
Anthem BCBS,016 Gynecology (OB/GYN),DOUGLAS,97
Anthem BCBS,025 Orthopedic Surgery,ARAPAHOE,95
Anthem BCBS,002 Family Medicine,DOUGLAS,94
Anthem BCBS,019 Neurology,ARAPAHOE,92
Anthem BCBS,021 Medical Oncology & Surgical Oncology,ARAPAHOE,89
Anthem BCBS,008 Cardiovascular Disease,DENVER,87
Anthem BCBS,003 Internal Medicine,BOULDER,86
Anthem BCBS,103 Psychology,LARIMER,78
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,DENVER,77
Anthem BCBS,000 OTHER,BROOMFIELD,77
Anthem BCBS,016 Gynecology (OB/GYN),LARIMER,77
Anthem BCBS,101 Pediatrics - Routine/Primary Care,ADAMS,77
Anthem BCBS,016 Gynecology (OB/GYN),ADAMS,76
Anthem BCBS,003 Internal Medicine,DOUGLAS,75
Anthem BCBS,016 Gynecology (OB/GYN),BOULDER,75
Anthem BCBS,102 Licensed Clinical Social Workers,EL PASO,75
Anthem BCBS,102 Licensed Clinical Social Workers,JEFFERSON,75
